               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.013518,            0.010248,           0.0087038,             0.72795,             0.82797,             0.80222,             0.53102,            0.013805,           0.0030939,            0.015655,           0.0050765,           0.0050765,           0.0050765
                  55,            0.013101,            0.010632,           0.0090498,             0.71743,             0.72649,             0.78994,             0.55729,            0.011766,           0.0029831,            0.017052,            0.004936,            0.004936,            0.004936
                  56,            0.013472,             0.01043,           0.0089442,             0.79904,             0.73769,             0.72012,             0.46986,            0.013707,           0.0030951,            0.020129,            0.004796,            0.004796,            0.004796
                  57,            0.013279,            0.010649,           0.0081774,             0.83415,             0.64397,             0.66184,             0.41264,            0.014246,           0.0032374,            0.031288,           0.0046568,           0.0046568,           0.0046568
                  58,            0.013512,            0.010202,           0.0086657,             0.78127,             0.77939,             0.83324,             0.56793,            0.011737,           0.0030196,            0.015268,           0.0045184,           0.0045184,           0.0045184
                  59,            0.013112,            0.010765,           0.0084067,             0.82098,             0.70216,             0.81946,             0.57864,            0.011106,           0.0031651,            0.016787,           0.0043809,           0.0043809,           0.0043809
                  60,            0.012948,            0.010037,           0.0080549,             0.85033,             0.77685,             0.84307,             0.58317,             0.01178,           0.0030469,            0.013149,           0.0042445,           0.0042445,           0.0042445
                  61,            0.013171,             0.01027,            0.007664,             0.79508,             0.74398,             0.78999,             0.50705,            0.013296,           0.0031594,            0.022552,           0.0041094,           0.0041094,           0.0041094
                  62,            0.013082,            0.010443,           0.0078528,             0.81461,             0.69464,             0.75826,             0.53923,            0.011266,           0.0030362,            0.021107,           0.0039757,           0.0039757,           0.0039757
                  63,            0.013241,            0.010619,           0.0075009,             0.84715,             0.79271,             0.87017,             0.61775,            0.011268,           0.0029586,            0.013373,           0.0038434,           0.0038434,           0.0038434
                  64,            0.012957,            0.010327,           0.0077611,             0.86353,             0.69787,              0.7783,             0.53441,            0.012628,           0.0030914,            0.021892,           0.0037128,           0.0037128,           0.0037128
                  65,             0.01274,           0.0099687,           0.0076769,             0.81843,             0.70397,             0.76428,             0.51141,            0.013139,           0.0032326,             0.02279,            0.003584,            0.003584,            0.003584
                  66,            0.012594,            0.010188,           0.0074501,             0.78022,             0.71002,             0.74766,             0.51159,            0.012286,           0.0031802,            0.024247,            0.003457,            0.003457,            0.003457
                  67,            0.012604,            0.009879,            0.007667,             0.80355,             0.70863,             0.78569,             0.54608,            0.012451,           0.0029706,            0.020857,           0.0033321,           0.0033321,           0.0033321
                  68,             0.01244,            0.010233,           0.0076522,               0.791,             0.70937,             0.76467,             0.54181,            0.011978,           0.0029655,            0.023312,           0.0032093,           0.0032093,           0.0032093
                  69,            0.012599,            0.010456,           0.0073316,             0.82058,             0.65417,             0.69465,             0.48192,            0.011812,           0.0032313,            0.030548,           0.0030888,           0.0030888,           0.0030888
                  70,             0.01231,            0.010063,           0.0073846,             0.81589,              0.6427,             0.68852,             0.48869,            0.011882,           0.0031401,            0.029478,           0.0029706,           0.0029706,           0.0029706
                  71,            0.012314,            0.010266,           0.0072537,             0.80815,             0.67488,             0.77359,             0.52691,            0.012797,           0.0032878,            0.020129,            0.002855,            0.002855,            0.002855
                  72,             0.01234,            0.010208,           0.0078407,             0.82322,             0.71713,             0.80744,             0.56302,            0.012069,           0.0029992,            0.017778,           0.0027419,           0.0027419,           0.0027419
                  73,            0.012353,            0.010239,           0.0069822,             0.79491,             0.72698,             0.81067,             0.54498,            0.012959,           0.0031364,            0.018824,           0.0026316,           0.0026316,           0.0026316
                  74,             0.01183,           0.0096087,           0.0068503,             0.80682,             0.71606,             0.75596,             0.52844,             0.01141,           0.0029712,               0.022,           0.0025241,           0.0025241,           0.0025241
                  75,            0.012099,           0.0099829,           0.0071365,             0.84604,             0.64432,             0.72822,             0.51999,            0.011212,           0.0029948,            0.027831,           0.0024195,           0.0024195,           0.0024195
                  76,            0.011966,           0.0098596,           0.0067699,             0.84434,             0.70122,             0.75091,             0.53535,            0.011071,             0.00288,            0.026974,            0.002318,            0.002318,            0.002318
                  77,            0.012181,            0.010066,           0.0067484,             0.81583,             0.67509,             0.73676,               0.507,            0.011955,           0.0030846,            0.026219,           0.0022196,           0.0022196,           0.0022196
                  78,             0.01185,           0.0099968,           0.0071857,             0.84018,             0.73473,             0.79869,             0.58408,            0.010709,           0.0027451,            0.019782,           0.0021245,           0.0021245,           0.0021245
                  79,            0.011934,           0.0098923,           0.0067831,             0.81012,             0.72848,             0.79611,              0.5762,            0.010932,           0.0028002,             0.02029,           0.0020327,           0.0020327,           0.0020327
                  80,            0.011616,           0.0097628,            0.006416,             0.81774,             0.70253,             0.77149,              0.5621,            0.010839,           0.0027663,            0.021598,           0.0019443,           0.0019443,           0.0019443
                  81,            0.011825,            0.009817,            0.006448,             0.81644,             0.72006,              0.8005,             0.57219,            0.011268,           0.0028266,            0.020737,           0.0018594,           0.0018594,           0.0018594
                  82,            0.011813,           0.0094863,           0.0064827,             0.78184,             0.70374,             0.78135,             0.56695,            0.011041,           0.0028243,            0.023895,           0.0017781,           0.0017781,           0.0017781
                  83,            0.011679,           0.0098965,           0.0063795,             0.78673,             0.67254,             0.77924,             0.54615,            0.011907,           0.0029482,            0.025686,           0.0017005,           0.0017005,           0.0017005
                  84,            0.011576,           0.0097513,           0.0067237,              0.7508,             0.68744,             0.74868,             0.54335,            0.010951,           0.0029676,            0.028028,           0.0016267,           0.0016267,           0.0016267
                  85,            0.011568,           0.0094674,            0.006614,             0.73403,             0.78162,             0.81969,             0.59003,            0.011215,           0.0027321,            0.021279,           0.0015566,           0.0015566,           0.0015566
                  86,            0.011675,           0.0095899,           0.0063463,             0.80587,               0.687,             0.79607,              0.5743,            0.011126,           0.0028045,            0.024354,           0.0014905,           0.0014905,           0.0014905
                  87,            0.011579,           0.0096398,           0.0060776,             0.80564,             0.69377,             0.80791,             0.60392,            0.010504,           0.0026885,            0.023546,           0.0014283,           0.0014283,           0.0014283
                  88,            0.011655,           0.0098549,           0.0064199,             0.80604,             0.72058,             0.80095,             0.58541,            0.011106,           0.0026832,            0.022313,           0.0013701,           0.0013701,           0.0013701
                  89,            0.011448,           0.0096749,           0.0059076,             0.81767,             0.73658,             0.82834,             0.59968,            0.010861,           0.0026809,            0.019192,            0.001316,            0.001316,            0.001316
                  90,            0.011434,           0.0095365,           0.0063957,             0.84336,             0.69418,             0.78253,             0.56145,            0.011129,           0.0027016,            0.023455,            0.001266,            0.001266,            0.001266
                  91,            0.011639,           0.0097247,            0.006039,             0.83599,             0.70708,               0.808,             0.58335,            0.010889,           0.0026766,            0.020476,           0.0012202,           0.0012202,           0.0012202
                  92,            0.011532,           0.0098096,            0.006311,             0.80902,             0.70695,             0.79047,             0.55818,            0.011429,           0.0027507,            0.022486,           0.0011787,           0.0011787,           0.0011787
                  93,            0.011479,           0.0097593,           0.0064897,             0.83122,             0.70427,             0.82108,             0.57799,            0.011385,           0.0027312,            0.020261,           0.0011414,           0.0011414,           0.0011414
                  94,             0.01126,            0.009276,           0.0059003,              0.8292,             0.70375,             0.80312,             0.55525,            0.011781,           0.0027893,             0.02182,           0.0011084,           0.0011084,           0.0011084
                  95,            0.011353,            0.009447,           0.0058464,             0.79448,             0.70673,             0.78754,             0.54782,            0.011852,            0.002727,            0.024251,           0.0010797,           0.0010797,           0.0010797
                  96,            0.011198,           0.0096303,           0.0062892,             0.82154,             0.70619,             0.78964,             0.55149,            0.011918,           0.0028425,            0.022722,           0.0010554,           0.0010554,           0.0010554
                  97,            0.011254,           0.0095289,           0.0062511,             0.78587,             0.69084,             0.75873,             0.52856,             0.01184,           0.0028212,            0.024994,           0.0010355,           0.0010355,           0.0010355
                  98,            0.011067,           0.0089598,           0.0062549,             0.81726,             0.69251,             0.75673,             0.52647,            0.012153,           0.0027697,             0.02511,             0.00102,             0.00102,             0.00102
                  99,            0.011314,           0.0096362,           0.0059595,             0.83283,             0.70727,             0.77351,              0.5471,            0.012029,           0.0027617,            0.026102,           0.0010089,           0.0010089,           0.0010089
